cluster,cluster_count
aerosol cloud optical particle,74
agb biomas forest canopy,80
albedo surface mcd43a3 snow,19
amazon basin amazonian floodplain,27
biofuel ghg ethanol microalga,33
brdf reflectance surface cloud,45
carbon co2 soil flux,209
carbon forest ecosystem sequestration,36
convection simulation climate weathering,72
crop rice corn soybean,95
deforestation forest bushland tropical,63
drainage basin erosion flow,27
drought vegetation agricultural precipitation,84
dust aerosol african emission,17
elevation srtm terrain slope,84
emission aerosol fire carbon,21
emission fire burning burned,54
emission methane wetland coal,30
evapotranspiration estimate evaporation flux,66
fire burned detection mcd64a1,39
fire wildfire burned burn,85
flood elevation river topographic,25
flood runoff river catchment,78
forest boreal ecosystem carbon,44
fvc reflectance canopy vegetation,41
glacier ice snow albedo,109
gnssr cygnss cygns satellite,36
gros carbon annual ecosystem,42
groundwater water basin aquifer,45
heat flux permafrost boundary,59
irrigation water groundwater crop,45
land classification cloud datum,118
landslide earthquake anomaly rainfall,36
leaf estimation rmse measurement,36
lulc land classification landuse,19
malaria locust infection mosquito,29
marine fish fishery coastal,39
ndvi vegetation normalized trend,49
npp nsp terrestrial global,19
ozone emission o3 tropospheric,105
pasture grassland grazing degraded,98
phenology vegetation disturbance season,99
phenology vegetation spring date,132
pm25 concentration pm particulate,22
precipitation rainfall climatology dataset,67
runoff hydrological water basin,60
satellite datum earth landsat,40
sea sst ocean wave,129
sif chlorophyll fluorescence vegetation,19
soil moisture sm smap,148
species habitat diversity genetic,88
tectonic basin zone river,66
temperature emissivity rmse thermal,127
temperature station weather mwd,46
timberline tree forest alpine,79
urban gdp city urbanization,40
urban suhi heat suhii,41
water lake river area,65
wind scatterometer ocean ascat,58
Grand Total,3658